5 1.14017 1.14278 1.13472
10 1.89424 1.89863 1.88241
15 3.03859 3.04734 3.02405
20 4.46572 4.4768 4.43597
25 4.46572 4.4768 4.43597
30 8.76713 8.78961 8.75303
